Kernel,Param1,Param2,Options,Size,Time
clBlas,1,4,-cl-std=CL1.2,1024,0.15986
clBlas,1,4,-cl-std=CL1.2,1024,0.16596
clBlas,1,4,-cl-std=CL1.2,1024,0.17252
clBlas,1,4,-cl-std=CL1.2,1024,0.16615
clBlas,1,4,-cl-std=CL1.2,1024,0.15499
clBlas,1,4,-cl-std=CL1.2,1024,0.16512
clBlas,1,4,-cl-std=CL1.2,1024,0.16806
clBlas,1,4,-cl-std=CL1.2,1024,0.16594
clBlas,1,4,-cl-std=CL1.2,1024,0.15930
clBlas,1,4,-cl-std=CL1.2,1024,0.15385
clBlas,1,4,-cl-std=CL1.2,1024,0.15557
clBlas,1,4,-cl-std=CL1.2,1024,0.16325
clBlas,1,4,-cl-std=CL1.2,1024,0.16613
clBlas,1,4,-cl-std=CL1.2,1024,0.15933
clBlas,1,4,-cl-std=CL1.2,1024,0.16100
clBlas,1,4,-cl-std=CL1.2,1024,0.15528
clBlas,1,4,-cl-std=CL1.2,1024,0.17436
clBlas,1,4,-cl-std=CL1.2,1024,0.15306
clBlas,1,4,-cl-std=CL1.2,1024,0.15984
clBlas,1,4,-cl-std=CL1.2,1024,0.16403
clBlas,1,4,-cl-std=CL1.2,1024,0.16726
clBlas,1,4,-cl-std=CL1.2,1024,0.14820
clBlas,1,4,-cl-std=CL1.2,1024,0.16000
clBlas,1,4,-cl-std=CL1.2,1024,0.16213
clBlas,1,4,-cl-std=CL1.2,1024,0.16352
clBlas,1,4,-cl-std=CL1.2,1024,0.17606
clBlas,1,4,-cl-std=CL1.2,1024,0.15749
clBlas,1,4,-cl-std=CL1.2,1024,0.15906
clBlas,1,4,-cl-std=CL1.2,1024,0.15968
clBlas,1,4,-cl-std=CL1.2,1024,0.17078
clBlas,1,4,-cl-std=CL1.2,1024,0.16401
clBlas,1,4,-cl-std=CL1.2,1024,0.17077
clBlas,1,4,-cl-std=CL1.2,1024,0.16040
clBlas,1,4,-cl-std=CL1.2,1024,0.16407
clBlas,1,4,-cl-std=CL1.2,1024,0.15754
clBlas,1,4,-cl-std=CL1.2,1024,0.16289
clBlas,1,4,-cl-std=CL1.2,1024,0.16915
clBlas,1,4,-cl-std=CL1.2,1024,0.16162
clBlas,1,4,-cl-std=CL1.2,1024,0.16426
clBlas,1,4,-cl-std=CL1.2,1024,0.15878
clBlas,1,4,-cl-std=CL1.2,1024,0.16035
clBlas,1,4,-cl-std=CL1.2,1024,0.17066
clBlas,1,4,-cl-std=CL1.2,1024,0.15746
clBlas,1,4,-cl-std=CL1.2,1024,0.17093
clBlas,1,4,-cl-std=CL1.2,1024,0.15615
clBlas,1,4,-cl-std=CL1.2,1024,0.17368
clBlas,1,4,-cl-std=CL1.2,1024,0.14028
clBlas,1,4,-cl-std=CL1.2,1024,0.16238
clBlas,1,4,-cl-std=CL1.2,1024,0.16940
clBlas,1,4,-cl-std=CL1.2,1024,0.16896
clBlas,1,4,-cl-std=CL1.2,2048,0.22151
clBlas,1,4,-cl-std=CL1.2,2048,0.22923
clBlas,1,4,-cl-std=CL1.2,2048,0.21786
clBlas,1,4,-cl-std=CL1.2,2048,0.19228
clBlas,1,4,-cl-std=CL1.2,2048,0.21433
clBlas,1,4,-cl-std=CL1.2,2048,0.19853
clBlas,1,4,-cl-std=CL1.2,2048,0.22433
clBlas,1,4,-cl-std=CL1.2,2048,0.23448
clBlas,1,4,-cl-std=CL1.2,2048,0.19592
clBlas,1,4,-cl-std=CL1.2,2048,0.21784
clBlas,1,4,-cl-std=CL1.2,2048,0.21595
clBlas,1,4,-cl-std=CL1.2,2048,0.21178
clBlas,1,4,-cl-std=CL1.2,2048,0.21988
clBlas,1,4,-cl-std=CL1.2,2048,0.21325
clBlas,1,4,-cl-std=CL1.2,2048,0.23090
clBlas,1,4,-cl-std=CL1.2,2048,0.20948
clBlas,1,4,-cl-std=CL1.2,2048,0.21210
clBlas,1,4,-cl-std=CL1.2,2048,0.21875
clBlas,1,4,-cl-std=CL1.2,2048,0.20702
clBlas,1,4,-cl-std=CL1.2,2048,0.22773
clBlas,1,4,-cl-std=CL1.2,2048,0.22355
clBlas,1,4,-cl-std=CL1.2,2048,0.22080
clBlas,1,4,-cl-std=CL1.2,2048,0.21673
clBlas,1,4,-cl-std=CL1.2,2048,0.22172
clBlas,1,4,-cl-std=CL1.2,2048,0.22382
clBlas,1,4,-cl-std=CL1.2,2048,0.21962
clBlas,1,4,-cl-std=CL1.2,2048,0.22943
clBlas,1,4,-cl-std=CL1.2,2048,0.20140
clBlas,1,4,-cl-std=CL1.2,2048,0.22065
clBlas,1,4,-cl-std=CL1.2,2048,0.20863
clBlas,1,4,-cl-std=CL1.2,2048,0.21625
clBlas,1,4,-cl-std=CL1.2,2048,0.22879
clBlas,1,4,-cl-std=CL1.2,2048,0.20787
clBlas,1,4,-cl-std=CL1.2,2048,0.21312
clBlas,1,4,-cl-std=CL1.2,2048,0.22909
clBlas,1,4,-cl-std=CL1.2,2048,0.24327
